LocID,MeanConsecDistance,MeanConsecVertAngle,Interaction,MovementClass
03_01_01_0057,0.08304356528678529,0.6377380704355802,0.05296004308808558,1
03_01_01_0058,0.08184241937542189,0.6077969377787747,0.049743571876787684,1
03_01_01_0059,0.08552090216278281,0.600262309001585,0.05133497420013065,1
03_01_01_0060,0.07758174581292403,0.43725795417049457,0.033923235455134496,1
03_01_01_0061,0.06702977819265636,0.5105902984135433,0.03422475444998203,1
03_01_01_0062,0.06363030334899046,0.40841049710175925,0.02598728382149693,1
03_01_01_0063,0.06955293175268333,0.43866577004487917,0.03051049036616976,1
03_01_01_0064,0.07367373297523762,0.35762595830490435,0.026347639357168984,1
03_01_01_0065,0.10619940293762758,0.4529808475652341,0.048106295553608354,1
03_01_01_0066,0.14481813140215405,0.5128314900854859,0.07426729811836236,1
03_01_01_0067,0.18267479431485656,0.6579678362975264,0.12019413916144185,1
03_01_01_0068,0.21800290413332932,0.7417956954977871,0.16171361589212044,1
03_01_01_0069,0.21298288115760416,0.836888008916538,0.17824281934529498,1
03_01_01_0070,0.2109998444346631,0.9182205781709787,0.19374439915078293,1
03_01_01_0071,0.18474659911468444,0.9189968625981608,0.16978154496207515,1
03_01_01_0072,0.13313525586162928,0.8665520547975165,0.11536862953288796,1
03_01_01_0073,0.11359289716136646,0.8120511078754954,0.09224323798667484,1
03_01_01_0074,0.118010285235594,0.7863521851054766,0.0927976456599299,1
03_01_01_0075,0.15028724010886244,0.7544202015428664,0.11337972997224915,1
03_01_01_0076,0.15620925838385055,0.7689347719850598,0.1201147304773414,1
03_01_01_0077,0.17173679778490802,0.6584536795050473,0.11308072640788694,1
03_01_01_0078,0.17680427260453335,0.5851003031289976,0.10344823349541439,1
03_01_01_0079,0.17425881267672017,0.4345039017848587,0.0757161340284317,1
03_01_01_0080,0.16605601087720628,0.2948999212282635,0.0489699045271678,1
03_01_01_0081,0.12992136136031096,0.12487531074449197,0.016223970372216262,1
03_01_01_0082,0.1320564751422042,0.20056236304709024,0.026485558710189806,0
03_01_01_0083,0.13478422722391034,0.17560866200402256,0.023669277802037047,0
03_01_01_0084,0.16437692389330516,0.20083060893285934,0.033011917720002754,0
03_01_01_0085,0.16051676130110487,0.18686476287918588,0.029994926538665843,0
03_01_01_0086,0.15736657314165642,0.18035018770228015,0.02838109100416233,0
03_01_01_0087,0.18591164161853238,0.12203950989370332,0.02268856562665951,0
03_01_01_0088,0.21342263526160254,0.1269188921264947,0.02708736442211956,0
03_01_01_0089,0.1979987610678867,0.09500417680682621,0.018810709304026046,0
03_01_01_0090,0.1910734766821239,0.12342846726958344,0.023583906362745044,0
03_01_01_0091,0.23043857991946348,0.15518125168544325,0.03575974726851839,0
03_01_01_0092,0.2451788279615042,0.17521628633034902,0.0429593237222423,0
03_01_01_0093,0.21436218743562327,0.2177719529994786,0.04668207220709597,0
